Abbreviation	Selected Map	Total_EV	Shift	Shift tooltip	I_Nominee tooltip	blank	D-Check	D_Nominee_prop	Color Bins	Independent spacing	Direction	Spacer	R-Check	D_%	D_Difference%	D_Difference	D_EV	D_EV_Total	D_Nominee	R_Nominee_prop	D_Popular%	D_Votes	D_Votes_Total	Hex_Column	Hex_Row	I_%	I_EV	I_EV_Total	I_Nominee tooltip ●	I_Nominee tooltip ')'	I_Nominee tooltip '%)'	I_Nominee tooltip '('	I_Nominee	I_Popular%	I_Votes	I_Votes_Total	Independent spacing (popular)	Info	Last_RD_Difference	Last_Winner	Last_Winner_%	Number of Records	RD_Difference (bin)	RD_Difference	R_%	R_Difference%	R_Difference	R_EV	R_EV_Total	R_Nominee	I_Nominee_prop	R_Popular%	R_Votes	R_Votes_Total	Region	Row	Shift (l/r)	Shift abbreviation	Space	State (red)	State (blue)	State (yellow)	State	State_Winner	Total Votes	Total_Votes_USA	Winner_%	Winning Party	Year
IL	Hex	29	28	% shift to the left			✔	Franklin D. Roosevelt	B		Left	0		55.2	12.9	568487	29	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	1882304	22818740	6	3													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	14.6	R	56.9	1	-15	-13.2	42.0	-14.9	-336385		59	HERBERT HOOVER	 	39.7%	1432756	15760425	Midwest	2	-27.8	0.5	6		Illinois		Illinois	D	3407926	39747783	-55.2	D	1932
IN	Hex	14	32	% shift to the left			✔	Franklin D. Roosevelt	B		Left	0		54.7	15.1	299363	14	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	862054	22818740	7	3													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	20.1	R	59.7	1	-15	-11.8	42.9	-16.8	-171106		59	HERBERT HOOVER	 	39.7%	677184	15760425	Midwest	3	-31.9	0.5	6		Indiana		Indiana	D	1576927	39747783	-54.7	D	1932
KS	Hex	9	54	% shift to the left			✔	Franklin D. Roosevelt	A		Left	0		53.6	26.5	231201	9	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	424204	22818740	5	5													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	44.9	R	72	1	-10	-9.5	44.1	-27.9	-164174		59	HERBERT HOOVER	 	39.7%	349498	15760425	Midwest	5	-54.4	0.5	4		Kansas		Kansas	D	791978	39747783	-53.6	D	1932
MI	Hex	19	50	% shift to the left			✔	Franklin D. Roosevelt	A		Left	0		52.4	23.5	474938	19	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	871700	22818740	7.5	2													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	41.5	R	70.4	1	-10	-8	44.4	-26	-225502		59	HERBERT HOOVER	 	39.7%	739894	15760425	Midwest	2	-49.5	0.5	8		Michigan		Michigan	D	1664765	39747783	-52.4	D	1932
MN	Hex	11	41	% shift to the left			✔	Franklin D. Roosevelt	C		Left	0		59.9	19.1	204355	11	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	600806	22818740	4.5	2													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	17	R	57.8	1	-25	-23.6	36.3	-21.5	-197018		59	HERBERT HOOVER	 	39.7%	363959	15760425	Midwest	2	-40.6	0.5	5		Minnesota		Minnesota	D	1002843	39747783	-59.9	D	1932
MO	Hex	15	40	% shift to the left			✔	Franklin D. Roosevelt	C		Left	0		63.7	19.5	362722	15	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	1025406	22818740	5.5	4													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	11.4	R	55.6	1	-30	-28.6	35.1	-20.5	-269367		59	HERBERT HOOVER	 	39.7%	564713	15760425	Midwest	4	-40.0	0.5	5		Missouri		Missouri	D	1609894	39747783	-63.7	D	1932
ND	Hex	4	52	% shift to the left			✔	Franklin D. Roosevelt	E		Left	0		69.6	25.1	71702	4	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	178350	22818740	3.5	2													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	10.3	R	54.8	1	-45	-41.6	28.0	-26.8	-59647		59	HERBERT HOOVER	 	39.7%	71772	15760425	Midwest	2	-51.9	0.5	4		North Dakota		North Dakota	D	256290	39747783	-69.6	D	1932
NE	Hex	7	55	% shift to the left			✔	Franklin D. Roosevelt	C		Left	0		63.0	26.8	161132	7	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	359082	22818740	4.5	4													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	27	R	63.2	1	-30	-27.7	35.3	-27.9	-144568		59	HERBERT HOOVER	 	39.7%	201177	15760425	Midwest	4	-54.7	0.5	4		Nebraska		Nebraska	D	570135	39747783	-63	D	1932
OH	Hex	26	33	% shift to the left			✔	Franklin D. Roosevelt	A		Left	0		49.9	15.4	437485	26	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	1301695	22818740	8	3													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	30.4	R	64.9	1	-5	-2.9	47.0	-17.9	-400227		59	HERBERT HOOVER	 	39.7%	1227319	15760425	Midwest	3	-33.3	0.5	7		Ohio		Ohio	D	2609728	39747783	-49.9	D	1932
SD	Hex	4	50	% shift to the left			✔	Franklin D. Roosevelt	C		Left	0		63.6	24.4	80855	4	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	183515	22818740	4	3													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	21	R	60.2	1	-30	-29.2	34.4	-25.8	-58391		59	HERBERT HOOVER	 	39.7%	99212	15760425	Midwest	3	-50.2	0.5	4		South Dakota		South Dakota	D	288438	39747783	-63.6	D	1932
WI	Hex	12	42	% shift to the left			✔	Franklin D. Roosevelt	D		Left	0		63.5	19.2	257151	12	472	FRANKLIN D. ROOSEVELT	Herbert Hoover	57.4%	707410	22818740	5.5	2													"The election of 1932 took place as the effects of the 1929 Wall Street Crash and the Great Depression were being felt intensely across the country. President Herbert Hoover's popularity was falling as voters felt he was unable to reverse the economic collapse, or deal with prohibition. Franklin D. Roosevelt used what he called Hoover's failure to deal with these problems as a platform for his own election, promising reform in his policy called the New Deal. Roosevelt won by a landslide, and this ""critical election"" marked the collapse of the Fourth Party System or Progressive Era. The voters soon were realigned into the Fifth Party System, dominated by Roosevelt's New Deal Coalition."	9.2	R	53.5	1	-35	-32.3	31.2	-22.3	-196464		59	HERBERT HOOVER	 	39.7%	347741	15760425	Midwest	2	-41.5	0.5	7		Wisconsin		Wisconsin	D	1114814	39747783	-63.5	D	1932
IA	Hex	7	10	% shift to the left			✔	Barack Obama 	A		Left	0		53.7	4.5	87042	7	365	BARACK OBAMA 	John McCain 	52.9%	828940	69456897	5	3													Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.	0.700000000	R	49.9	1	-10	-9.5	44.2	-5.7	-69578		173	JOHN McCAIN 	 	45.7%	682379	59934814	Midwest	3	-10.2	0.5	5		Iowa		Iowa	D	1543662	131278107	-53.7	D	2008
IN	Hex	11	22	% shift to the left			✔	Barack Obama 	A		Left	0		49.9	10.6	405028	11	365	BARACK OBAMA 	John McCain 	52.9%	1374039	69456897	7	3													Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.	20.6	R	59.9	1	-5	-1	48.9	-11	-133790		173	JOHN McCAIN 	 	45.7%	1345648	59934814	Midwest	3	-21.6	0.5	6		Indiana		Indiana	D	2751054	131278107	-49.9	D	2008
OH	Hex	20	7	% shift to the left			✔	Barack Obama 	A		Left	0		51.5	2.8	192221	20	365	BARACK OBAMA 	John McCain 	52.9%	2933388	69456897	8	3													Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.	2.100000000	R	50.8	1	-5	-4.6	46.9	-3.9	-185277		173	JOHN McCAIN 	 	45.7%	2674491	59934814	Midwest	3	-6.7	0.5	7		Ohio		Ohio	D	5698260	131278107	-51.5	D	2008
IL	Hex	27	19	% shift to the left			✔	John F. Kennedy	A		Left	0		50.0	9.7	602164	27	311	JOHN F. KENNEDY	Richard Nixon	49.7%	2377846	34226731	6	3													The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.	19.2	R	59.5	1	-5	-0.200000000	49.8	-9.7	-254339		219	RICHARD NIXON	 	49.5%	2368988	34108157	Midwest	2	-19.4	0.5	6		Illinois		Illinois	D	4757409	68838219	-50	D	1960
MI	Hex	20	14	% shift to the left			✔	John F. Kennedy	A		Left	0		50.9	6.8	327371	20	311	JOHN F. KENNEDY	Richard Nixon	49.7%	1687269	34226731	7.5	2													The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.	11.5	R	55.6	1	-5	-2.1	48.8	-6.8	-93219		219	RICHARD NIXON	 	49.5%	1620428	34108157	Midwest	2	-13.6	0.5	8		Michigan		Michigan	D	3318097	68838219	-50.9	D	1960
MN	Hex	11	9	% shift to the left			✔	John F. Kennedy	A		Left	0		50.6	4.5	162408	11	311	JOHN F. KENNEDY	Richard Nixon	49.7%	779933	34226731	4.5	2													The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.	7.6	R	53.7	1	-5	-1.4	49.2	-4.5	38613		219	RICHARD NIXON	 	49.5%	757915	34108157	Midwest	2	-9.0	0.5	5		Minnesota		Minnesota	D	1541887	68838219	-50.6	D	1960
MI	Hex	19	1	% shift to the left			✔	Franklin D. Roosevelt	A		Left	0		50.2	0.700000000	73908	19	432	FRANKLIN D. ROOSEVELT	Thomas E. Dewey	53.4%	1106899	25612610	7.5	2													The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.	0.400000000	R	49.9	1	-5	-1	49.2	-0.700000000	44506		99	THOMAS E. DEWEY	 	45.9%	1084423	22014160	Midwest	2	-1.4	0.5	8		Michigan		Michigan	D	2205223	47976670	-50.2	D	1944
IL	Hex	22	16	% shift to the left	"Ross Perot:	"		✔	Bill Clinton	B		Left	0		48.6	0	237410	22	370	BILL CLINTON	George Bush	43.0%	2453350	44909326	6	3	16.6			● 	)	%)	 (	ROSS PEROT	18.9%	840515	19741657	               	The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.	2.1	R	50.7	1	-15	-14.3	34.3	-16.4	-576843		168	GEORGE BUSH	Ross Perot	37.4%	1734096	39103882	Midwest	2	-16.4	0.5	6		Illinois		Illinois	D	5050157	104425014	-48.6	D	1992
MI	Hex	18	15	% shift to the left	"Ross Perot:	"		✔	Bill Clinton	A		Left	0		43.8	-1.900000000	195399	18	370	BILL CLINTON	George Bush	43.0%	1871182	44909326	7.5	2	19.3			● 	)	%)	 (	ROSS PEROT	18.9%	824813	19741657	               	The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.	7.9	R	53.6	1	-10	-7.4	36.4	-17.2	-410546		168	GEORGE BUSH	Ross Perot	37.4%	1554940	39103882	Midwest	2	-15.3	0.5	8		Michigan		Michigan	D	4274673	104425014	-43.8	D	1992
MO	Hex	11	14	% shift to the left	"Ross Perot:	"		✔	Bill Clinton	B		Left	0		44.1	-3.7	52254	11	370	BILL CLINTON	George Bush	43.0%	1053873	44909326	5.5	4	21.7			● 	)	%)	 (	ROSS PEROT	18.9%	518741	19741657	               	The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.	4	R	51.8	1	-15	-10.2	33.9	-17.9	-273794		168	GEORGE BUSH	Ross Perot	37.4%	811159	39103882	Midwest	4	-14.2	0.5	5		Missouri		Missouri	D	2391565	104425014	-44.1	D	1992
OH	Hex	21	13	% shift to the left	"Ross Perot:	"		✔	Bill Clinton	A		Left	0		40.2	-3.9	45313	21	370	BILL CLINTON	George Bush	43.0%	1984942	44909326	8	3	21.0			● 	)	%)	 (	ROSS PEROT	18.9%	1036426	19741657	               	The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.	10.9	R	55	1	-5	-1.900000000	38.3	-16.7	-522239		168	GEORGE BUSH	Ross Perot	37.4%	1894310	39103882	Midwest	3	-12.8	0.5	7		Ohio		Ohio	D	4939967	104425014	-40.2	D	1992
IA	Hex	10	7	% shift to the left			✔	Harry S Truman	A	    	Left	0		50.3	2.8	22504	10	303	HARRY S TRUMAN	Thomas E. Dewey	49.5%	522380	24108417	5	3			39					STROM THURMOND	2.4%		1169114	  	The United States presidential election of 1948 is considered by most historians as the greatest election upset in American history. Virtually every prediction (with or without public opinion polls) indicated that incumbent President Harry S. Truman would be defeated by Republican Thomas E. Dewey. Truman won, overcoming a three-way split in his own party. Truman's surprise victory was the fifth consecutive win for the Democratic Party in a presidential election. As a result of the 1948 congressional election, the Democrats would regain control of both houses of Congress. Thus, Truman's election confirmed the Democratic Party's status as the nation's majority party, a status they would retain until 1952.	4.5	R	52	1	-5	-2.7	47.6	-4.4	-53249		189	THOMAS E. DEWEY	Strom Thurmond	45.1%	494018	21970064	Midwest	3	-7.2	0.5	5		Iowa		Iowa	D	1038264	48691494	-50.3	D	1948
OH	Hex	25	1	% shift to the left			✔	Harry S Truman	A	    	Left	0		49.5	-0.300000000	-117972	25	303	HARRY S TRUMAN	Thomas E. Dewey	49.5%	1452791	24108417	8	3			39					STROM THURMOND	2.4%		1169114	  	The United States presidential election of 1948 is considered by most historians as the greatest election upset in American history. Virtually every prediction (with or without public opinion polls) indicated that incumbent President Harry S. Truman would be defeated by Republican Thomas E. Dewey. Truman won, overcoming a three-way split in his own party. Truman's surprise victory was the fifth consecutive win for the Democratic Party in a presidential election. As a result of the 1948 congressional election, the Democrats would regain control of both houses of Congress. Thus, Truman's election confirmed the Democratic Party's status as the nation's majority party, a status they would retain until 1952.	0.400000000	R	50.2	1	-5	-0.300000000	49.2	-1	-136609		189	THOMAS E. DEWEY	Strom Thurmond	45.1%	1445684	21970064	Midwest	3	-0.7	0.5	7		Ohio		Ohio	D	2936071	48691494	-49.5	D	1948
WI	Hex	12	6	% shift to the left			✔	Harry S Truman	A	    	Left	0		50.7	2.1	-3103	12	303	HARRY S TRUMAN	Thomas E. Dewey	49.5%	647310	24108417	5.5	2			39					STROM THURMOND	2.4%		1169114	  	The United States presidential election of 1948 is considered by most historians as the greatest election upset in American history. Virtually every prediction (with or without public opinion polls) indicated that incumbent President Harry S. Truman would be defeated by Republican Thomas E. Dewey. Truman won, overcoming a three-way split in his own party. Truman's surprise victory was the fifth consecutive win for the Democratic Party in a presidential election. As a result of the 1948 congressional election, the Democrats would regain control of both houses of Congress. Thus, Truman's election confirmed the Democratic Party's status as the nation's majority party, a status they would retain until 1952.	1.8	R	50.4	1	-5	-4.400000000	46.3	-4.1	-83573		189	THOMAS E. DEWEY	Strom Thurmond	45.1%	590959	21970064	Midwest	2	-6.2	0.5	7		Wisconsin		Wisconsin	D	1276800	48691494	-50.7	D	1948
CT	Hex	8	16	% shift to the left			✔	Franklin D. Roosevelt	B		Left	0		55.3	7.9	100497	8	523	FRANKLIN D. ROOSEVELT	Alfred M. Landon	60.8%	382129	27750866	11	3													The election of 1936 was the most lopsided presidential election in history in terms of electoral votes. In terms of the popular vote, it was the third biggest victory since the election of 1820. The election took place as the Great Depression entered its eighth year. Incumbent President Franklin D. Roosevelt was still working to push the provisions of his New Deal economic policy through Congress and the courts. However, the New Deal policies he had already enacted, such as Social Security and unemployment benefits, had proven to be highly popular with most Americans. Roosevelt's Republican opponent was Governor Alf Landon of Kansas, a political moderate.	1.1	R	48.5	1	-15	-15	40.3	-8.2	-9735		8	ALFRED M. LANDON	 	36.5%	278685	16679683	Northeast	3	-16.1	0.5	10		Connecticut		Connecticut	D	690723	45646991	-55.3	D	1936
DE	Hex	3	15	% shift to the left			✔	Franklin D. Roosevelt	B		Left	0		54.6	6.5	15383	3	523	FRANKLIN D. ROOSEVELT	Alfred M. Landon	60.8%	69702	27750866	9.5	4													The election of 1936 was the most lopsided presidential election in history in terms of electoral votes. In terms of the popular vote, it was the third biggest victory since the election of 1820. The election took place as the Great Depression entered its eighth year. Incumbent President Franklin D. Roosevelt was still working to push the provisions of his New Deal economic policy through Congress and the courts. However, the New Deal policies he had already enacted, such as Social Security and unemployment benefits, had proven to be highly popular with most Americans. Roosevelt's Republican opponent was Governor Alf Landon of Kansas, a political moderate.	2.5	R	50.6	1	-15	-12.3	42.3	-8.3	-3059		8	ALFRED M. LANDON	 	36.5%	54014	16679683	Northeast	5	-14.8	0.5	9		Delaware		Delaware	D	127603	45646991	-54.6	D	1936
NH	Hex	4	3	% shift to the left			✔	Franklin D. Roosevelt	A		Left	0		49.7	0.700000000	7780	4	523	FRANKLIN D. ROOSEVELT	Alfred M. Landon	60.8%	108460	27750866	11	1													The election of 1936 was the most lopsided presidential election in history in terms of electoral votes. In terms of the popular vote, it was the third biggest victory since the election of 1820. The election took place as the Great Depression entered its eighth year. Incumbent President Franklin D. Roosevelt was still working to push the provisions of his New Deal economic policy through Congress and the courts. However, the New Deal policies he had already enacted, such as Social Security and unemployment benefits, had proven to be highly popular with most Americans. Roosevelt's Republican opponent was Governor Alf Landon of Kansas, a political moderate.	1.4	R	50.4	1	-5	-1.7	48.0	-2.4	1013		8	ALFRED M. LANDON	 	36.5%	104642	16679683	Northeast	1	-3.1	0.5	11		New Hampshire		New Hampshire	D	218114	45646991	-49.7	D	1936
PA	Hex	36	22	% shift to the left			✔	Franklin D. Roosevelt	B		Left	0		56.9	11.6	1057840	36	523	FRANKLIN D. ROOSEVELT	Alfred M. Landon	60.8%	2353788	27750866	9	3													The election of 1936 was the most lopsided presidential election in history in terms of electoral votes. In terms of the popular vote, it was the third biggest victory since the election of 1820. The election took place as the Great Depression entered its eighth year. Incumbent President Franklin D. Roosevelt was still working to push the provisions of his New Deal economic policy through Congress and the courts. However, the New Deal policies he had already enacted, such as Social Security and unemployment benefits, had proven to be highly popular with most Americans. Roosevelt's Republican opponent was Governor Alf Landon of Kansas, a political moderate.	5.5	R	50.8	1	-20	-16.1	40.8	-10	236760		8	ALFRED M. LANDON	 	36.5%	1690300	16679683	Northeast	3	-21.6	0.5	8		Pennsylvania		Pennsylvania	D	4138105	45646991	-56.9	D	1936
ME	Hex	4	52	% shift to the left			✔	Lyndon B. Johnson	D		Left	0		68.8	25.8	81105	4	486	LYNDON B. JOHNSON	Barry M. Goldwater	61.3%	262264	43340299	11.5	0													The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.	14	R	57	1	-40	-37.6	31.2	-25.8	-121907		52	BARRY M. GOLDWATER	 	38.5%	118701	27178188	Northeast	0	-51.6	0.5	11		Maine		Maine	D	380965	70644592	-68.8	D	1964
